,书籍名称,书籍评分,书籍评论人数,书籍链接,作者
30,《伍迪·艾伦谈话录》,8.3,562人评论,https://market.douban.com/book/woodyallen?region=zhishu_collect_books_list&location=13,(美)埃里克·拉克斯 / 河南大学出版社 / 付裕、纪宇译 / 平装 / 559页
31,《画在人心的苦闷上》,8.3,288人评论,https://market.douban.com/book/huazairenxin?region=zhishu_collect_books_list&location=14,李宗陶 著 / 鹭江出版社 / 精装彩印 / 357页
32,《一幅画开启的世界》,7.7,441人评论,https://market.douban.com/book/yifuhua?region=zhishu_collect_books_list&location=15,[日]髙畑勋 著 / 匡匡  译 / 浦睿文化 & 湖南美术出版社 / 精装彩印
33,《传奇在路上》,7.2,304人评论,https://market.douban.com/book/taleonroad?region=zhishu_collect_books_list&location=16,张佳玮 / 华东师范大学出版社 / 312页 / 精装
34,《未完成的梦》,8.3,37人评论,https://market.douban.com/book/dream?region=zhishu_collect_books_list&location=17,阮义忠 / 上海译文出版社 / 平装 / 268页
35,《第九区 II》,7.4,51人评论,https://market.douban.com/book/dijiuqu2?region=zhishu_collect_books_list&location=18,第九区：漫游虚拟现实奇境 / 腾云智库／译言／现代出版社／2016-7
36,《民主的不满》,8.2,198人评论,https://market.douban.com/book/minzhudebuman?region=zhishu_collect_books_list&location=1,[美]迈克尔·桑德尔/中信出版社/曾纪茂  译/软精装
37,《我的衣橱故事》,7.0,333人评论,https://market.douban.com/book/wardrobe_story?region=zhishu_collect_books_list&location=2,于晓丹 / 重庆大学出版社 / 2016-4 / 278页
38,《》,6.5,187人评论,https://market.douban.com/book/zheng_jie?region=zhishu_collect_books_list&location=3,陈崇正 / 清华大学出版社 / 2016-3-20 / 平装
39,《 隐形军队》,8.3,118人评论,https://market.douban.com/book/guerrilla?region=zhishu_collect_books_list&location=4,[美]马克斯·布特 / 社会科学文献出版社 / 甲骨文丛书 / 赵国星 张金勇译 / 912页 / 精装
40,《巨魔》,8.6,29人评论,https://market.douban.com/book/trolls?region=zhishu_collect_books_list&location=5,[美] 英格丽·多莱尔 & 埃德加·佩林·多莱尔 著绘/ 李剑敏 译/ 精装/浙江少年儿童出版社
