order_id,order_date,order_time,cat,attribution,pro_id,pro_brand,total_money,total_quantity,order_source,pay_type,use_id,city
4285058250,2013-05-27,20:36:13,家纺寝居,GO,1000373094,天绚,978.6,14,主站,合并支付,meili002,漯河市
4027924352,2013-03-28,20:47:02,汽车用品,GO,1000142563,美孚,1047.2,14,主站,合并支付,qq-7c3c825,东营市
4072210953,2013-07-15,14:53:14,汽车用品,GO,1000142563,美孚,1047.2,14,主站,货到付款,goldeneyes,北京市
4116742165,2013-02-24,11:21:27,汽车用品,GO,1000142563,美孚,1047.2,14,主站,货到付款,fetyse,临汾市
4140824193,2013-10-30,13:40:02,汽车用品,GO,1000142563,美孚,1047.2,14,主站,货到付款,alipay-208,佛山市
4180356822,2013-11-27,17:46:42,汽车用品,GO,1000142563,美孚,1047.2,14,主站,合并支付,zhangyz197,衡水市
4227388469,2013-04-13,23:25:52,食品酒水,POP,8001965291,红星,105.0,14,主站,合并支付,qq-7c11606,天津市
