,公司名称,投资方,更新时间,融资轮次,行业,详情URL
351,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
352,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
353,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
354,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
355,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
356,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
357,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
358,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
359,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
360,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
361,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
362,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
363,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
364,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
365,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
366,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
367,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
368,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
369,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
370,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
371,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
372,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
373,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
374,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
375,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
376,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
377,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
378,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
379,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
380,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
381,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
382,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
383,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
384,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
385,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
386,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
387,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
388,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
389,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
390,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
391,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
392,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
393,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
394,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
395,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
396,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
397,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
398,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
399,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
400,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
401,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
402,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
403,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
404,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
405,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
406,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
407,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
408,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
409,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
410,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
411,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
412,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
413,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
414,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
415,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
416,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
417,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
418,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
419,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
420,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
421,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
422,媒管家,大数据,2018-03-07,天使轮,原链资本,http://www.cyzone.cn/r/20180307/64319.html
423,外教易,教育,2018-03-07,天使轮,创新工场,http://www.cyzone.cn/r/20180307/64318.html
424,块连线,文体娱乐,2018-03-07,种子轮,Tokenup,http://www.cyzone.cn/r/20180307/64317.html
425,灿谷金服,金融支付,2018-03-07,战略投资,腾讯产业共赢基金海通国际泰合资本····,http://www.cyzone.cn/r/20180307/64315.html
426,辰天科技,人工智能,2018-03-07,并购,速感科技,http://www.cyzone.cn/r/20180307/64301.html
427,凯叔讲故事,教育,2018-03-07,B+轮,微影资本正心谷创新资本上海坤言投资····,http://www.cyzone.cn/r/20160125/18995.html
428,节卡机器人,人工智能,2018-03-07,A+轮,方广资本,http://www.cyzone.cn/r/20180307/64299.html
429,鼎家网络,房产,2018-03-06,天使轮,筑家投资,http://www.cyzone.cn/r/20180307/64304.html
430,聪明核桃教育,教育,2018-03-06,Pre-A,XVC创投嘉程资本山行资本,http://www.cyzone.cn/r/20180307/64308.html
431,声影动漫,游戏动漫,2018-03-06,A轮,今日头条,http://www.cyzone.cn/r/20170315/49982.html
432,展卷科技,交通出行,2018-03-06,A轮,摩拜单车,http://www.cyzone.cn/r/20180306/64267.html
433,睿帆科技,大数据,2018-03-06,战略投资,佳都科技,http://www.cyzone.cn/r/20180307/64300.html
434,企企通,企业服务,2018-03-06,B轮,网信集团昆仲资本和盟创投,http://www.cyzone.cn/r/20160127/19153.html
435,绿橙国际,教育,2018-03-06,A轮,鼎晖投资,http://www.cyzone.cn/r/20180307/64294.html
436,中农互联,大数据,2018-03-06,天使轮,未披露,http://www.cyzone.cn/r/20180307/64296.html
437,麦思威尔,智能制造,2018-03-06,A轮,永柏资本,http://www.cyzone.cn/r/20180307/64295.html
438,史河科技,硬件,2018-03-06,天使轮,熊猫资本老鹰基金,http://www.cyzone.cn/r/20160907/43565.html
439,漫游宝,硬件,2018-03-06,C轮,集富亚洲金沙江创投伟高达创投····,http://www.cyzone.cn/r/20180307/64297.html
440,一起作业网,教育,2018-03-07,E轮,今日头条,http://www.cyzone.cn/r/20150704/359.html
441,中联利信,企业服务,2018-03-07,天使轮,钟鼎创投仲唐投资天津德雅,http://www.cyzone.cn/r/20180307/64314.html
