house,house_area,house_room,total_price,unit_price
滨江奥城听雨苑 ,115.83,3室2厅,515.0,44462
虹苑新寓三村 ,63.8,2室2厅,196.0,30722
天坛新寓 ,75.16,3室1厅,243.0,32332
棉鞋营小区 ,69.74,3室1厅,220.0,31546
常府街10至16号 ,62.21,2室1厅,212.0,34079
house,house_area,house_room,total_price,unit_price
滨江奥城听雨苑 ,115.83,3室2厅,515.0,44462
虹苑新寓三村 ,63.8,2室2厅,196.0,30722
天坛新寓 ,75.16,3室1厅,243.0,32332
棉鞋营小区 ,69.74,3室1厅,220.0,31546
常府街10至16号 ,62.21,2室1厅,212.0,34079
