appcategory,appname,comments,company,install,love,platform,size,update,version
网上购物-商城,男衣邦,106,上海若美网络科技有限公司,12万,98.00%,Android 4.0.3 以上,17.55MB,2018年03月29日,4.1.0
网上购物-商城,一元夺宝,34,吉林市庆松科技有限公司,20万,80.00%,Android 2.3.2 以上,1.41MB,2016年09月27日,2.1.2
网上购物-商城,真珠美学,0,深圳市系比思网络科技有限公司,5880,暂无,Android 2.2.x 以上,4.78MB,2018年03月08日,2.1.8
网上购物-商城,1919快喝,2,四川快喝电子商务有限公司,7.8万,100.00%,Android 4.1.x 以上,20.52MB,2018年03月30日,5.5.0
网上购物-商城,1号社区,3,深圳市零壹移动互联系统有限公司,7.5万,67.00%,Android 4.1.x 以上,50.77MB,2018年03月19日,4.8.1
网上购物-商城,云集,0,,7.6万,暂无,Android 3.0.0 以上,9.72MB,2015年11月21日,2.0
网上购物-商城,一刻千金,43,上海拿米金融信息服务有限公司,52.5万,89.00%,Android 4.1.x 以上,32.85MB,2018年03月21日,2.6.6
网上购物-商城,二手货网,8,南京全网物联,12.2万,暂无,Android 2.2.x 以上,2.48MB,2014年09月02日,3.0.1
网上购物-商城,联想商城,9,联想（北京）有限公司,26.2万,暂无,Android 2.2.x 以上,2.9MB,2014年09月02日,1.1
网上购物-商城,掌上金鹰,0,金鹰国际商贸集团(中国)有限公司,57万,暂无,Android 4.0.2 以上,17.58MB,2018年01月26日,5.98
网上购物-商城,有赞微商城,67,杭州有赞科技有限公司,69.7万,64.00%,Android 4.1.x 以上,18.23MB,2018年03月23日,3.25.3
网上购物-商城,我转,294,武汉市闲转信息技术有限公司,61.2万,100.00%,Android 4.1.x 以上,13.48MB,2017年12月08日,1.0.2
网上购物-商城,众筹网,13,北京网信众筹网络科技有限公司,59万,100.00%,Android 4.1.x 以上,16.29MB,2018年01月02日,6.1.4
网上购物-商城,聚鲨环球精选,23,北京环球国广媒体科技有限公司,7.2万,79.00%,Android 4.0.3 以上,15.07MB,2018年04月09日,3.5.1
网上购物-商城,优购时尚商城,51,优购科技有限公司,164万,49.00%,Android 4.0.2 以上,20.23MB,2018年01月08日,4.2.3
网上购物-商城,Ola,120,广州极物优品科技有限公司,1.5万,99.00%,Android 4.2.x 以上,16.45MB,2018年03月15日,1.0.6
网上购物-商城,万家灯火,0,云南鼎言科技有限公司,3.1万,暂无,Android 2.2.x 以上,1.06MB,2014年11月10日,v1.8.0.0807
网上购物-商城,8天,16,江苏八天软件技术有限公司,49.8万,51.00%,Android 4.0.3 以上,12.86MB,2018年03月05日,4.0.7
网上购物-商城,达人店,-3,杭州云若网络科技有限公司,4.2万,100.00%,Android 4.0.3 以上,13.84MB,2018年03月14日,3.7.0
网上购物-商城,乐视商城,1,乐视网信息技术（北京）股份有限公司,188.1万,40.00%,Android 4.1.x 以上,26.69MB,2018年03月26日,1.7.8
网上购物-商城,脉宝云店,5,西藏脉道网络科技股份有限公司,4.6万,100.00%,Android 4.1.x 以上,13.35MB,2018年03月30日,1.5.6
网上购物-商城,凡客,105,凡客诚品（北京）科技有限公司,146.4万,50.00%,Android 4.4.4 以上,9.62MB,2018年03月21日,5.2.8
网上购物-商城,交易虎,1,绍兴迅虎网络科技有限公司,9285,100.00%,Android 4.0.3 以上,4.89MB,2018年03月28日,1.1.4
网上购物-商城,7788商城,0,福州九九七七八八网络技术有限公司,1.6万,暂无,Android 4.0.2 以上,6.66MB,2017年08月18日,1.1.3
网上购物-商城,食行生鲜,0,江苏随易信息科技有限公司,13.1万,暂无,Android 4.0.2 以上,23.69MB,2018年03月19日,4.1.6
网上购物-商城,UU898,2,郑州市中奥网络技术有限公司,22.5万,50.00%,Android 4.1.x 以上,8.96MB,2017年08月23日,3.0.0
网上购物-商城,小鱼定制,70,北京无二科技有限公司,1.9万,98.00%,Android 4.0.3 以上,33.06MB,2018年04月09日,1.2.3
网上购物-商城,一元街,51,深圳乐兑信息科技有限公司,658.4万,60.00%,Android 2.2.x 以上,6.68MB,2016年01月19日,2.2.4
网上购物-商城,返利助手,-85,北京小萌无线科技有限公司,32.9万,66.00%,Android 4.0.3 以上,9.95MB,2018年04月03日,6.6.1
网上购物-商城,壹壹互联,0,深圳市大微互联科技有限公司,3660,暂无,Android 4.0.2 以上,8MB,2018年02月02日,1.0.0
网上购物-商城,一点万象,1,华润（深圳）有限公司,2.9万,暂无,Android 4.1.x 以上,11.72MB,2018年03月27日,2.5.0
网上购物-商城,顺丰大当家,1034,深圳市顺丰大当家科技有限公司,53.5万,89.00%,Android 4.3.x 以上,33.43MB,2018年03月19日,2.3.1
网上购物-商城,可得眼镜,0,上海可得光学科技有限公司,10.8万,暂无,Android 4.2.x 以上,62.12MB,2018年03月19日,2.8.6
网上购物-商城,车置宝车商版,0,江苏车置宝信息科技股份有限公司,3.8万,暂无,Android 4.1.x 以上,20.96MB,2018年04月08日,3.20.6
网上购物-商城,便利蜂,0,虫极科技（北京）有限公司,2.1万,暂无,Android 4.1.x 以上,34.12MB,2018年03月26日,2.3.5
网上购物-商城,康宝莱订购,93,康宝莱（上海）管理有限公司,2.7万,53.00%,Android 4.1.x 以上,11.44MB,2018年04月10日,1.0.3516
网上购物-商城,同城商城,1,,1.6万,暂无,Android 4.0.3 以上,4.81MB,2016年09月03日,1.0
网上购物-商城,厂多多,130,厂多多网络科技（深圳）有限公司,37万,97.00%,Android 4.4.4 以上,15.83MB,2018年04月10日,2.1.0
网上购物-商城,家乐园速购,1,河北家乐园信息技术服务有限公司,9.8万,100.00%,Android 2.3.7 以上,16.59MB,2018年03月02日,3.4.03
网上购物-商城,旧淘,8,,7.8万,暂无,Android 3.0.0 以上,3.68MB,2015年01月30日,1.3
网上购物-商城,快方送药,1,北京快方科技有限公司,18.1万,100.00%,Android 4.0.3 以上,5.49MB,2018年03月08日,3.2.7
网上购物-商城,碧斯诺兰,0,,6735,暂无,Android 4.0.3 以上,32.48MB,2017年11月28日,2.0.0
